respondent_id,age_group,region,city_tier,occupation,monthly_hh_income,education,marital_status,purchase_frequency,last_purchase_recency,monthly_spend_inr,avg_items_per_order,preferred_channel,purchase_occasion,has_returned_product,gifting_behaviour,products_interested,preferred_fabric,preferred_colors,preferred_prints,price_range_apparel,price_range_bedding,clothing_size,style_identity,brand_loyalty,madein_india_importance,discovery_channel,discount_preference,referral_propensity,current_satisfaction,main_pain_point,zaria_interest_label
ZF0001,18-24,North,Metro,Salaried_Pvt,15k-30k,PostGrad,Single,Bimonthly,<1mo,1339,2-3,Amazon,Diwali|NewYear,OnceOrTwice,Frequently,IndoWestern|Kurti|SalwarSuit,CottonBlend,White|Printed,Embroidery,1000-1999,<800,M,EthnicComfort,SwitchByPrice,7,MeeshoApp|YouTube|Instagram,FestivalSale,8,3,HighPrice,1
ZF0002,25-34,North,Tier3,Freelancer,30k-60k,PostGrad,Single,OccasionOnly,1-3mo,3415,4-5,D2C_Brand|Amazon,NoOccasion|Wedding,OnceOrTwice,Frequently,IndoWestern|BeddingSet|NightSuit|Kurti|SalwarSuit,Cotton,Beige|Blue|White,BlockPrint,1000-1999,1500-2999,XL,TraditionallyRooted,ExperimentsFreely,7,WordOfMouth|WhatsApp,LoyaltyPoints,3,5,LimitedDesign,2
ZF0003,55+,Central,Rural,Business,<15k,Graduate,Married_with_kids,OccasionOnly,6-12mo,1303,2-3,LocalStore,Eid,Unhappy_NoReturn,Occasionally,NightSuit|BeddingSet,Cotton,White|Red,Embroidery,500-999,<800,M,HomeFirst,SwitchByPrice,9,WordOfMouth,FreeShipping,9,2,LessTraditional,1
ZF0004,45-55,North,Tier2,Salaried_Pvt,<15k,Graduate,Married_with_kids,Quarterly,>1yr,2036,4-5,Meesho,Wedding|Holi|Diwali,NeverReturned,Frequently,Kurti|Dupatta|NightSuit,Cotton|Rayon,White|Red,Floral|Checks|Solid,500-999,5000+,XL,TraditionallyRooted,StickTo1-2,7,Instagram|WhatsApp,BundleCombo,6,6,FabricQuality,1
ZF0005,45-55,North,Tier2,Homemaker,15k-30k,Graduate,Married_with_kids,OccasionOnly,6-12mo,1035,2-3,WhatsApp_Seller|LocalStore,Wedding|Diwali,OnceOrTwice,Frequently,NightSuit|SalwarSuit,Polyester,Printed,Floral|TieDye,500-999,<800,S,TraditionallyRooted,NoBrandPreference,7,WordOfMouth|WhatsApp,Buy2Get1,9,5,LimitedDesign,1
ZF0006,Under18,West,Metro,Freelancer,<15k,Graduate,Other,Monthly,1-3mo,603,1,Myntra|D2C_Brand|Instagram_Seller,Diwali|Birthday|NoOccasion,OnceOrTwice,Occasionally,CoordSet|IndoWestern|Kurti,Georgette,Printed|Black|Blue,Solid|Geometric|DigitalPrint,4000+,800-1499,L,EthnicComfort,SwitchByPrice,8,Instagram|MeeshoApp|YouTube,Buy2Get1,9,10,SlowDelivery,0
ZF0007,25-34,West,Rural,Salaried_Govt,>1L,Graduate,Other,Bimonthly,3-6mo,1286,4-5,WhatsApp_Seller|Meesho|LocalStore,Diwali,NeverReturned,Occasionally,SalwarSuit|NightSuit,CottonBlend|Cotton,Green|Red|Pink,Solid|BlockPrint|Floral,2000-3999,5000+,L,HomeFirst,NoBrandPreference,6,WhatsApp|WordOfMouth|MeeshoApp,FlatDiscount,7,1,HighPrice,1
ZF0008,45-55,NorthEast,Tier2,Salaried_Govt,30k-60k,Graduate,Married,Bimonthly,<1mo,1685,2-3,Meesho|LocalStore|WhatsApp_Seller,NoOccasion,NeverReturned,Rarely,Kurti|BeddingSet|SalwarSuit|NightSuit|Saree,Cotton|CottonBlend,Orange|Green,Embroidery|BlockPrint|Solid,1000-1999,800-1499,XL,TraditionallyRooted,NoBrandPreference,8,WhatsApp|TV_Newspaper,BundleCombo,10,5,HighPrice,2
ZF0009,35-44,West,Tier2,Salaried_Pvt,>1L,Graduate,Single,Weekly,<1mo,2315,4-5,Instagram_Seller|Amazon,NoOccasion|Birthday|Diwali,NeverReturned,Occasionally,NightSuit|CoordSet,Silk,Black,Geometric,500-999,1500-2999,XXL,FusionForward,StickTo1-2,4,YouTube|MeeshoApp,LoyaltyPoints,6,8,DifficultReturn,1
ZF0010,Under18,West,Tier3,Student,15k-30k,Graduate,Single,Monthly,>1yr,2026,1,Amazon|Myntra,Birthday|NoOccasion|NewYear,MultipleReturns,SelfOnly,Kurti|CoordSet,Cotton,Black|Blue,DigitalPrint|Floral,2000-3999,1500-2999,M,HomeFirst,StickTo1-2,7,WhatsApp|YouTube|MeeshoApp,FreeShipping,9,5,SizingIssue,0
